published_at;trade_register_number;county_court;company;city;postal_code;street;share_capital;business_purpose;primary_branch;managing_directors;short_info_file;info_file;short_info_url;info_url
09.09.2023;FN 611545g;;DS Security KG;St. Georgen an der Gusen;4222;Obere Breiten 1/1;;Onlinehandel mit Waren aller Art, Betrieb eines Sicherheitsge- werbes, eingeschränkt auf Veranstaltungsschutz;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776115459;
09.09.2023;FN 611541a;;agineo Austria GmbH;Wien;1070;Zieglergasse 6/Stiege/3;35000 €;Dienstleistungen in der automatischen Datenverarbeitung und Informationstechnologie;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776115419;
09.09.2023;FN 611539y;;Trestler Installationen GmbH & Co KG;Wien;1100;Langsulzgasse 5;;Gas-, Wasser-, und Heizungsinstallationsgewerbe;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776115399;
09.09.2023;FN 611534s;;MoJa VV GmbH;Wien;1080;Alser Straße 55/23B;35000 €;Erwerb, An- und Verkauf, Halten, Verwalten, Vermieten und Bewirtschaften von Immobilien Vermögensverwaltung;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776115349;
09.09.2023;FN 611526d;;Hackl Consulting e.U.;Perg;4320;Mühlsteinstraße 30;;IT Beratung, IT-Verkauf, IT-Entwicklung, IT-Planung und IT-Umsetzung;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776115269;
09.09.2023;FN 611525b;;AF & IM - Die Eventlocation OG;Wien;1080;Schmidgasse 18;;"Betrieb von Eventlocations einschließlich Gastronomie; Vermietung von Veranstaltungsräumlichkeiten";;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776115259;
09.09.2023;FN 611497k;;FWG-Fernwärmeversorgung Groß Gerungs GmbH;Groß Gerungs;3920;Weitraerstraße 417;44000 €;Erzeugung und Vertrieb von Fernwärme;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776114979;
09.09.2023;FN 611478h;;MYWASH Mobile Autopflege e.U.;Wien;1220;Dittelgasse 5/5/16;;Wartung und Pflege von Kraftfahrzeugen;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776114789;
09.09.2023;FN 611452w;;Schöllbauer Verwaltung GmbH;Mauthausen;4310;Promenade 30;35000 €;Vermögensverwaltung;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776114529;
09.09.2023;FN 611406b;;Zentrum für Visionen Hotel GmbH;Puch bei Hallein;5412;Ursteind Nord 16;35000 €;Betrieb eines Hotels;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776114069;
09.09.2023;FN 611382t;;Gabor Wild Consulting GmbH;Klosterneuburg;3400;Steiningergasse 27;35000 €;Unternehmensberatung einschließlich der Unternehmensorganisation, sowie Beratung bei Projektentwicklung und Projektabwicklung im Immobilienbereich für Unternehmen.;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776113829;
09.09.2023;FN 611331t;;Harald Bleiner GmbH;Steyr;4400;Wolfernstraße 20b;35000 €;Beförderung von Gütern mit Kraftfahrzeugen im grenzüber- schreitenden Verkehr und Kraftfahrzeugtechnik verbunden mit Karosseriebau- und Karosserielackiertechniker;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776113319;
09.09.2023;FN 611326i;;Maylen's Style OG;Bad Waltersdorf;8271;Wagerberg 176;;Handel mit Dekorationswaren und persönliche Dienstleistungen zur Dekoration von Räumen und Veranstaltungsflächen;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776113269;
09.09.2023;FN 611295p;;Geppert Hydro GmbH;Hall in Tirol;6060;Geppertstraße 6;35000 €;Die Planung, Lieferung, Errichtung, Finanzierung, Beratung, Vermittlung und der Betrieb von Kleinwasserkraftwerken;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776112959;
09.09.2023;FN 611279s;;Madlberger Holding GmbH;Velm;2325;Schlosspark 109;35000 €;Ausübung der Funktion einer Verwaltungsgesellschaft. Eingehen von Beteiligungen.;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776112799;
09.09.2023;FN 611182y;;3DOfficeAT e.U.;Wattens;6112;Sebastian-Schrott-Straße 2;;Kunststoffverarbeitung (Handwerk) eingeschränkt auf die Herstellung von Produkten mittels Kunststoff 3D Drucker Groß- und Einzelhandel von Kunststoffprodukten, Kunststoff Produktzubehör, Druckvorlagen und Druckvorlage-Lizenzen;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776111829;
09.09.2023;FN 611181x;;Polium GmbH;Wien;1040;Paulanergasse 14/4;35000 €;Handel mit Waren aller Art, Vermietung von Ausstattungen für Veranstaltungen;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776111819;
09.09.2023;FN 611167a;;DISRUPT CX GmbH;Wien;1190;Wigandgasse 37/7;35000 €;Organisation von Events (Eventmanagement) Vermietung von Eventlocations;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776111679;
09.09.2023;FN 611165y;;Sillerhof GmbH;Rinn;6074;Rothmayrgasse 13;35000 €;Holzschlägerei;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776111659;
09.09.2023;FN 611153f;;Grand Elisabeth Betriebs GmbH & Co KG;Kaprun;5710;Sigmund-Thun-Straße 26;;Hotelbetrieb und Ausübung des Gastgewerbes in all seinen Betriebsformen;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776111539;
09.09.2023;FN 611147x;;Freiberger Holding GmbH;Steyr;4400;Gleinkergasse 10;400000 €;Ausübung des Handelsgewerbes und der Holdingfunktion;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776111479;
09.09.2023;FN 611110t;;SGU-Tech e.U.;Rosental an der Kainach;8582;Puchbachstraße 9;;"Unternehmensberatung ""Sicherheit, Gesundheit und Umwelttechnik"" Sicherheitstechnische Betreuungen gemäß ASchG und Handelsgewerbe";;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776111109;
09.09.2023;FN 611109s;;NK Kitzbühel Vermietung und Verpachtung GmbH;Velden am Wörther See;9220;Rosegger Strasse 119;35000 €;Erwerb von Grundstücken samt Gebäuden und grundstücksgleichen Rechten, die Errichtung von Gebäuden aller Art auf diesen Grundstücken, Verwertung und Verwaltung dieser Grundstücke, grundstückseigener Rechte und Gebäude, insbesondere durch gewerbliche Vermietung und Verpachtung, Mietung und Pachtung, die Beauftragung von vorzunehmenden Sanierungen und Umbautätigkeiten an den Gebäuden sowie die Veräußerung von Grundstücken und grundstücksgleichen Rechten, Handel mit Waren aller Art;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776111099;
09.09.2023;FN 611042t;;LP-Holding Drei GmbH;Wien;1010;Bellariastraße 6;35000 €;Verwaltung von Beteiligungen;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776110429;
09.09.2023;FN 611004k;;A.D.A. Elektroinstallationen e.U.;Wien;1230;Gustav-Holzmann-Platz 1-8/1/15;;Elektrotechnik Störungsdienst Sprechanlagen SAT-Anlagen Elektrohandel;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776110049;
09.09.2023;FN 610814g;;EK Alpha IT e.U.;Wien;1210;Simmelgasse 1/4/14;;IT-Dienstleistung;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776108149;
09.09.2023;FN 610723y;;D.S. Qualitätsfassaden & Malerei KG;St. Pölten;3100;Banklstraße 1/2;;Maler und Fassadenarbeiten;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776107239;
09.09.2023;FN 610646i;;BARNLabs GmbH;Münzkirchen;4792;Prackenberg 18;35000 €;Entwicklung und Vertrieb von Technikhardware;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776106469;
09.09.2023;FN 610581p;;SNH GmbH;Graz-Liebenau;8041;Kasernstrasse 70/29;35000 €;"Entwicklung und Verwaltung von Liegenschaften, Architektur und Design,  Vermietung und Verpachtung; Vermittlung von Immobilien und Entwicklung von Bauträgerprojekten; Entwicklung und Betrieb von Vergnügungseinrichtungen; Handel, Import und Export, Erbringung von Dienstleistungen aller Art sowie Verwaltung des Gesellschaftsvermögens";;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776105819;
09.09.2023;FN 610564p;;Hammer Steuerberater e.U.;Wien;1080;Josefstädter Straße 29/2/34;;Steuerberatung;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776105649;
09.09.2023;FN 610512m;;GMB Benefits KG;Graz;8041;Leberackerweg 13b;;Vermittlung und Weitergabe von ausverhandelten Rabatten;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776105129;
09.09.2023;FN 609954t;;ASKA Fitness GmbH;Linz;4020;Wiener Straße 207;35000 €;Betrieb eines Sportstudios, Personaltraining, Handel;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776099549;
09.09.2023;FN 609907y;;OS Landwirtschafts KG;Dobl-Zwaring;8143;Oberberg 6;;der Betrieb einer Land- und Forstwirtschaft;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776099079;
09.09.2023;FN 609577m;;SKYENERGY Montage und Photovoltaik GmbH;Wien;1010;Mahlerstraße 13/1B;35000 €;Handel aller Art, insbesondere mit Solar- und Photovoltaikmodulen, Montage von Solar- und Photovoltaikmodulen ohne Anschlussarbeiten, Schulungen im Bereich der Montage von Solar- und Photovoltaikmodulen, Elektroarbeiten und Baugewerbe;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776095779;
10.09.2023;FN 609156v;;ALN Österreich GmbH;Wien;1060;c/o Polak & Partner Rechtsanwälte GmbH, Getreidemarkt 1;35000 €;Handel mit Waren aller Art, insbesondere aus dem Bereich Gesundheit und ästhetische Medizin, die Erbringung produktbezogener Beratung sowie Dienstleistungen aller Art;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776091569;
09.09.2023;FN 608626p;;CARA GmbH;Markersdorf-Haindorf;3384;Winkel 10;35000 €;Immobilienentwicklung und -verwaltung, Beteiligungsverwaltung Unternehmensberatung, Handel mit Waren aller Art Personalüberlassung;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776086269;
09.09.2023;FN 608262d;;SimplyeShops AS GmbH;Krems an der Donau;3500;Ringstraße 48/5;35000 €;Betrieb von Onlineshops;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776082629;
